Issue Date
Flags:  0=Forecast, 1=Estimated, 2=Observed

Date_Time                   F10          Kp     F10Flag      KpFlag  F10_41dAvg   24HrKpAvg    NHemiPow NHemiPowIdx    SHemiPow SHemiPowIdx       SW_Bt    SW_Angle SW_Velocity       SW_Bz      SW_Den
2013-03-16T17:59:00Z 124.8000000   1.6651444           2           1 112.1505882   2.7980244  53.8330000          -1  53.8330000          -1   5.1082776 287.9388939 442.9000000   0.9000000   4.2800000
2013-03-16T18:00:00Z 124.8000000   1.6670000           2           1 112.1505882   2.8000000  54.3430000          -1  54.3430000          -1   5.2241172 288.0998896 442.9000000   0.8400000   4.2800000
2013-03-16T18:01:00Z 124.8000000   1.6651444           2           1 112.1505882   2.8022222  53.9350000          -1  53.9350000          -1   5.3051013 278.7707633 442.9000000   0.5400000   4.2800000
2013-03-16T18:02:00Z 124.8000000   1.6632889           2           1 112.1505882   2.8044444  55.5670000          -1  55.5670000          -1   5.2955170 297.2995722 442.9000000   0.8000000   4.2800000
2013-03-16T18:03:00Z 124.8000000   1.6614333           2           1 112.1505882   2.8066667  54.5470000          -1  54.5470000          -1   5.3996296 345.2916961 446.8000000   1.6000000   4.3800000
2013-03-16T18:04:00Z 124.8000000   1.6595778           2           1 112.1505882   2.8088889  53.2210000          -1  53.2210000          -1   5.3988610 345.6272213 446.8000000   1.6000000   4.3800000
2013-03-16T18:05:00Z 124.8000000   1.6577222           2           1 112.1505882   2.8111111  52.5070000          -1  52.5070000          -1   5.3839112  36.6510037 446.8000000   1.6800000   4.3800000
2013-03-16T18:06:00Z 124.8000000   1.6558667           2           1 112.1505882   2.8133333  51.3850000          -1  51.3850000          -1   5.3648579  40.9790198 446.8000000   2.3600000   4.3800000
2013-03-16T18:07:00Z 124.8000000   1.6540111           2           1 112.1505882   2.8155556  51.2830000          -1  51.2830000          -1   5.4023328  51.5198018 446.8000000   1.8600000   4.3800000
2013-03-16T18:08:00Z 124.8000000   1.6521556           2           1 112.1505882   2.8177778  52.2010000          -1  52.2010000          -1   5.3988980  51.6701638 446.8000000   1.8500000   4.3800000
2013-03-16T18:09:00Z 124.8000000   1.6503000           2           1 112.1505882   2.8200000  52.3030000          -1  52.3030000          -1   5.3810129  54.2461127 446.8000000   1.9800000   4.3800000
2013-03-16T18:10:00Z 124.8000000   1.6484444           2           1 112.1505882   2.8222222  50.2630000          -1  50.2630000          -1   5.7128014  46.7357046 446.8000000   2.0800000   4.3800000
2013-03-16T18:11:00Z 124.8000000   1.6465889           2           1 112.1505882   2.8244444  48.6310000          -1  48.6310000          -1   5.7128014  46.7357046 446.8000000   2.0800000   4.3800000
2013-03-16T18:12:00Z 124.8000000   1.6447333           2           1 112.1505882   2.8266667  47.2030000          -1  47.2030000          -1   6.0074454  60.8974897 443.8000000   1.1300000   4.4100000
2013-03-16T18:13:00Z 124.8000000   1.6428778           2           1 112.1505882   2.8288889  45.3670000          -1  45.3670000          -1   6.0394950  80.3286790 443.8000000   0.5300000   4.4100000
2013-03-16T18:14:00Z 124.8000000   1.6410222           2           1 112.1505882   2.8311111  45.3670000          -1  45.3670000          -1   6.0266906  90.6455589 443.8000000  -0.0400000   4.4100000
2013-03-16T18:15:00Z 124.8000000   1.6391667           2           1 112.1505882   2.8333333  46.2850000          -1  46.2850000          -1   5.5396029  82.9074827 443.8000000   0.5400000   4.4100000
2013-03-16T18:16:00Z 124.8000000   1.6373111           2           1 112.1505882   2.8355556  44.4490000          -1  44.4490000          -1   5.0030691 105.8170536 482.6000000  -1.1700000   4.8100000
2013-03-16T18:17:00Z 124.8000000   1.6354556           2           1 112.1505882   2.8377778  42.5110000          -1  42.5110000          -1   5.6542462  90.3942308 472.4000000  -0.0300000   4.4800000
2013-03-16T18:18:00Z 124.8000000   1.6336000           2           1 112.1505882   2.8400000  41.4910000          -1  41.4910000          -1   5.8415751  89.7177571 454.4000000   0.0200000   3.9200000
2013-03-16T18:19:00Z 124.8000000   1.6317444           2           1 112.1505882   2.8422222  40.6750000          -1  40.6750000          -1   4.4716552 106.1644992 459.9000000  -1.2000000   4.3900000
2013-03-16T18:20:00Z 124.8000000   1.6298889           2           1 112.1505882   2.8444444  40.6750000          -1  40.6750000          -1   3.6949019  99.4352320 491.9000000  -0.5700000   3.6300000
2013-03-16T18:21:00Z 124.8000000   1.6280333           2           1 112.1505882   2.8466667  41.2870000          -1  41.2870000          -1   4.3620752 118.2550581 501.8000000  -2.0100000   3.5600000
2013-03-16T18:22:00Z 124.8000000   1.6261778           2           1 112.1505882   2.8488889  42.1030000          -1  42.1030000          -1   4.9899299 104.7435628 480.7000000  -1.2500000   3.8900000
2013-03-16T18:23:00Z 124.8000000   1.6243222           2           1 112.1505882   2.8511111  42.8170000          -1  42.8170000          -1   5.0623512 110.9805489 496.4000000  -1.8100000   3.9100000
2013-03-16T18:24:00Z 124.8000000   1.6224667           2           1 112.1505882   2.8533333  42.2050000          -1  42.2050000          -1   5.0462858 107.0606925 498.4000000  -1.4700000   3.8200000
2013-03-16T18:25:00Z 124.8000000   1.6206111           2           1 112.1505882   2.8555556  40.0630000          -1  40.0630000          -1   5.2812309 102.0252796 475.6000000  -1.0800000   3.9600000
2013-03-16T18:26:00Z 124.8000000   1.6187556           2           1 112.1505882   2.8577778  38.3290000          -1  38.3290000          -1   5.2220877  86.5595051 474.7000000   0.3000000   3.9200000
2013-03-16T18:27:00Z 124.8000000   1.6169000           2           1 112.1505882   2.8600000  38.2270000          -1  38.2270000          -1   5.7075739  98.3963173       472.0  -0.8000000   3.7100000
2013-03-16T18:28:00Z 124.8000000   1.6150444           2           1 112.1505882   2.8622222  38.4310000          -1  38.4310000          -1   5.3675041 101.7044649 473.7000000  -1.0400000   3.6700000
2013-03-16T18:29:00Z 124.8000000   1.6131889           2           1 112.1505882   2.8644444  36.2890000          -1  36.2890000          -1   5.0767411 128.5966144 477.9000000  -2.6500000   3.9000000
2013-03-16T18:30:00Z 124.8000000   1.6113333           2           1 112.1505882   2.8666667  34.4530000          -1  34.4530000          -1   5.2680262 127.1762893 477.9000000  -2.2600000   3.9000000
