Observation time: 1998.05.01_11:12:30
Central Carrington longitude: 135.1
B0 angle & Nmax:       -4.1948652          90
      36      18     -2.50664     -1.54099
      36      19     -2.19380     -1.84698
      36      20      3.06840    -0.182325
      36      21      4.56149      2.71202
      36      22     -2.45307    -0.655537
      36      23     -2.12450     -1.47597
      36      24     -1.94528     0.881270
      36      25      3.81784      2.87426
      36      26      3.58559      2.34187
      36      27     -5.15872     -1.13115
      36      28     -2.42278     -5.19391
      36      29     -3.71878      1.92681
      36      30      5.77242      4.12801
      36      31     -2.35480    -0.404037
      36      32      2.17377     -5.85239
      36      33     -1.59424    -0.490678
      36      34     -1.48191     -6.29095
      36      35     -1.07358     -2.48155
      36      36   -0.0126614    -0.773528
      37       0     0.720108      0.00000
      37       1      1.89493    -0.706373
      37       2     0.970418    -0.135038
      37       3     0.800312     0.251208
      37       4     -4.19548      1.99064
      37       5    -0.714060     0.473292
      37       6      2.00134    -0.849381
      37       7     0.350363     -1.48115
      37       8    -0.486915    -0.574518
      37       9     -1.42231      2.32508
      37      10     -1.42522      1.33753
      37      11    -0.323637     -1.10457
      37      12     -1.48724     -1.03993
      37      13      1.44704    -0.742959
      37      14      2.07951    -0.897043
      37      15      1.05395     0.506101
      37      16     -1.59771     0.194887
      37      17    -0.935675      1.50705
      37      18      1.37409   -0.0372922
      37      19      3.78768    -0.334125
      37      20    -0.265564     0.497992
      37      21     -1.98729      2.33169
      37      22     -3.21706      2.42923
      37      23      4.83366     -2.42812
      37      24      3.60933     -3.05018
      37      25     0.264120    -0.295344
      37      26     -4.19223      1.78431
      37      27    -0.520255      1.99889
      37      28      4.18786     -2.65883
      37      29      3.44882      3.17651
      37      30     -3.02669    -0.824744
      37      31     -3.78454    -0.306966
      37      32      1.08816     -6.10162
      37      33     0.768638      1.55411
      37      34     0.973353      5.56120
      37      35      4.65976      1.90913
      37      36     -1.07535      2.61961
      37      37     0.661425      1.23256
      38       0     -1.03199      0.00000
      38       1     0.394915      1.54063
      38       2    -0.534177      2.52995
      38       3     -1.94923     -1.09785
      38       4      1.54596     -2.47086
      38       5     0.261281     -2.53643
      38       6     -1.56087     -1.18175
      38       7     0.605184      2.05543
      38       8      2.08162     0.154205
      38       9      1.44273    -0.691844
      38      10     0.201179     -2.88314
      38      11     -2.71181     -2.01559
      38      12    -0.631778      1.15612
      38      13      2.35401      2.17197
      38      14      1.11369      1.07308
      38      15     -2.00681     0.534019
      38      16     -3.62136     -1.92499
      38      17    -0.985521    -0.485760
      38      18      1.78438      1.43545
      38      19   0.00728403      1.01612
      38      20     -1.30977      1.62176
      38      21     -4.78617     -1.85390
      38      22    0.0799259      1.25764
      38      23     0.652026     0.742108
      38      24      1.86949    -0.754059
      38      25     0.723238    -0.297554
      38      26     -3.71910     -2.14263
      38      27      3.10952      1.09036
      38      28      2.00057      1.36310
      38      29      2.39704    -0.211457
      38      30     -3.80215     -1.27043
      38      31     -3.78958     -1.64186
      38      32      4.02649      1.52865
      38      33      2.01889      6.92610
      38      34     -2.13500     -6.79497
      38      35    -0.815225     -2.32176
      38      36     0.887127     -2.24897
      38      37    -0.174717     -3.77890
      38      38   -0.0305144    -0.778122
      39       0     0.353173      0.00000
      39       1     -1.91032     0.237660
      39       2    -0.529551    -0.937066
      39       3     0.291189    0.0188759
      39       4      1.84529   -0.0793858
      39       5     0.862888    -0.886530
      39       6     -1.47333     0.722950
      39       7     0.796098     0.730447
      39       8     0.347576     0.551071
      39       9    0.0485223     0.216455
      39      10     0.640980     0.113687
      39      11     0.776158    -0.549554
      39      12      3.23415    -0.342980
      39      13    -0.224706    -0.300087
      39      14     -3.69708      1.95605
      39      15    -0.385168     0.155928
      39      16      1.95528     -1.14359
      39      17      3.46875     -3.65548
      39      18    -0.606195     -2.48394
      39      19     -2.98541      2.10994
      39      20      1.49154      2.15189
      39      21      2.43140     -1.08815
      39      22      2.88502     -3.38955
      39      23     -2.74235    -0.347314
      39      24     -3.53904      5.46187
      39      25    -0.292291      1.62716
      39      26      2.19256      1.70250
      39      27     0.576559     -3.76574
      39      28     -1.47512     -2.88257
      39      29     -1.05654      5.26365
      39      30     0.460040     0.504500
      39      31      4.83928     0.265154
      39      32    -0.721262     -4.78540
      39      33     -1.42285     0.755631
      39      34     -3.95778     -4.06943
      39      35      5.35719      1.73908
      39      36     -4.47621      4.71495
      39      37      2.42078      4.74421
      39      38      1.42160      2.60749
      39      39     0.264703     0.456807
      40       0     -2.19795      0.00000
      40       1    -0.166008    -0.498528
      40       2      1.01256     -2.30300
