Coefficients order=90 center=CT2039:180
Observation time: 2006.02.01_14:17:32
B0 angle & Nmax:        0          90





Max Harmonic Order:90   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)
      33      11     -1.18101    -0.652724
      33      12    -0.836228     0.149239
      33      13      1.49537    -0.238342
      33      14    -0.764203     -2.58293
      33      15      1.18082      2.04362
      33      16     0.979203     -1.51665
      33      17     -1.31400    -0.504451
      33      18     0.755876     0.195051
      33      19     -1.98341     -3.97388
      33      20      2.14542      3.63015
      33      21     0.531962    -0.246104
      33      22     -3.44512      2.85382
      33      23    -0.265225   -0.0696016
      33      24     -2.05601     -3.78397
      33      25      2.38401      1.80406
      33      26      1.66468    -0.594175
      33      27     -2.69447      5.36326
      33      28    -0.594346     -3.02766
      33      29     -1.34263    -0.403361
      33      30      5.71431     -1.14747
      33      31     -3.02029      2.71392
      33      32    -0.618416     -5.20915
      33      33    -0.475084    0.0206134
      34       0      1.34406      0.00000
      34       1   -0.0560847     -1.85113
      34       2     0.627673     0.734286
      34       3     0.306798    -0.901664
      34       4     -1.56565     -1.44528
      34       5     -1.19957    -0.946346
      34       6   -0.0489677     -1.15571
      34       7     -2.40934    -0.889367
      34       8    -0.175685      1.64467
      34       9    -0.673746     -3.29034
      34      10    -0.706949    -0.179480
      34      11      1.55023     -1.06859
      34      12     0.875955     -1.49265
      34      13     -1.66882     0.873718
      34      14      1.02281     -2.40898
      34      15     -2.08181    -0.391956
      34      16     0.572413     0.243040
      34      17     0.194101   -0.0972309
      34      18     -2.37414      2.02572
      34      19      2.01729    -0.496323
      34      20     -2.54929     -1.39375
      34      21      3.30498     0.540091
      34      22      1.63945     -1.23556
      34      23    -0.269637      2.75506
      34      24    -0.430060   -0.0627136
      34      25     -4.14857     -1.43267
      34      26      1.81296    -0.129171
      34      27      2.35381     -1.62978
      34      28      1.48736      4.75177
      34      29     -1.71968     -1.74410
      34      30     -1.55023     -1.92803
      34      31      3.14431     -4.91053
      34      32    -0.293459      2.74619
      34      33     -3.92085     -1.10979
      34      34      1.21455    -0.988579
      35       0     0.220602      0.00000
      35       1     0.259248     -1.70243
      35       2     0.175544     -1.32971
      35       3     -1.80360    -0.215063
      35       4      1.30077    -0.525317
      35       5     -1.57966    -0.305480
      35       6    -0.474434      2.11100
      35       7      1.58243    0.0604321
      35       8     -2.08375     0.704107
      35       9     0.238368      1.78238
      35      10    -0.612770     -1.89204
      35      11    0.0943228  -0.00644166
      35      12      2.31226    -0.465914
      35      13    -0.643533    -0.418828
      35      14     0.167967      2.97710
      35      15    -0.511197    -0.896827
      35      16     -2.01846     0.938945
      35      17      2.26329     0.753726
      35      18     0.481582     -1.63451
      35      19     0.765816      3.48347
      35      20     0.860867     -1.11075
      35      21     -1.55364     0.541852
      35      22      1.70029     -1.05629
      35      23      1.77757     -3.12704
      35      24      1.43293      3.18971
      35      25      1.12091    0.0633957
      35      26     -4.11184      1.36014
      35      27      1.62585     -3.60217
      35      28     0.684852     -3.00776
      35      29      3.35978      1.09647
      35      30     -1.49611     0.759099
      35      31     -3.65149     0.802970
      35      32     0.953804     -3.93855
      35      33      1.00607      2.13733
      35      34    -0.522723     0.134576
      35      35    0.0836679     0.210517
      36       0    -0.223249      0.00000
      36       1     -1.37666      2.45405
      36       2     0.520412      1.05701
      36       3     -1.41989     0.324064
      36       4     0.241048     0.983283
      36       5      1.92071     0.836883
      36       6    -0.347287     0.210796
      36       7      1.91649      2.33676
      36       8      1.61462     -1.92751
      36       9    -0.613614      2.00523
      36      10     0.532471    0.0729910
      36      11     -1.15435     -1.82862
      36      12    -0.640466      1.90629
      36      13      2.68834     -2.35026
      36      14     -1.16434    -0.756040
      36      15      2.42880      2.05651
      36      16     0.530916     0.139708
      36      17     -1.58433      1.28599
      36      18      2.43268    -0.610114
      36      19     -2.11351     -2.55445
      36      20      3.21914      2.18473
      36      21    -0.966303    -0.128467
      36      22     -2.75310      1.56973
      36      23     0.644963    -0.462600
      36      24    -0.890315     -3.14052
      36      25      3.16556      1.02007
      36      26      2.31701    -0.855478
      36      27     -3.56007      3.63087
      36      28    -0.705660     -2.67412
      36      29     -3.78794     -2.27729
      36      30      3.26477    0.0955122
      36      31     -1.11235      1.94814
      36      32     0.657705      4.11548
      36      33    0.0991153     -4.13356
      36      34      4.81086      2.00479
      36      35    -0.569717     -1.58444
      36      36     0.252520      2.34542
      37       0      1.38395      0.00000
      37       1     0.991828     0.908945
      37       2     0.499679      1.81001
      37       3      2.59382    -0.573213
      37       4     -1.82652    -0.367656
      37       5      1.06402     0.782282
      37       6      1.86521    -0.774209
      37       7     -1.11376    -0.569791
      37       8      1.96741   -0.0368903
      37       9     -1.36617     -1.66707
      37      10    -0.503314     0.556039
      37      11      1.49011    0.0573844
      37      12     -1.47585     -1.34808
      37      13    0.0376626      2.07436
      37      14     0.767125     -2.84183
