PEDERSEN CONDUCTANCE COEFFICIENTS
From RIDLEY ET AL (2004)

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
66.0	21.0	15.06	10.87	10.87	6.71	0.03	0.05
66.0	22.0	15.29	12.15	10.95	7.55	0.03	0.05
66.0	23.0	15.30	12.70	10.79	8.15	0.04	0.05
64.0	0.0	16.75	13.29	11.42	8.22	0.04	0.07
64.0	1.0	14.32	11.10	9.39	6.36	0.04	0.08
64.0	2.0	13.54	9.84	8.99	4.96	0.05	0.07
64.0	3.0	13.05	9.13	8.68	4.52	0.05	0.09
64.0	4.0	12.90	8.43	8.00	3.44	0.04	0.07
64.0	5.0	12.13	8.66	7.07	3.57	0.04	0.06
64.0	6.0	10.86	9.21	6.50	4.72	0.04	0.06
64.0	7.0	9.33	7.32	5.98	3.92	0.05	0.07
64.0	8.0	6.99	5.59	4.60	2.89	0.08	0.06
64.0	9.0	5.22	4.87	3.37	2.53	0.16	0.08
64.0	10.0	5.54	4.54	3.65	2.38	0.17	0.07
64.0	11.0	5.88	4.87	3.97	2.81	0.19	0.05
64.0	12.0	6.14	6.17	4.16	4.18	0.22	0.06
64.0	13.0	6.04	6.82	4.01	4.73	0.29	0.06
64.0	14.0	4.79	7.67	2.96	5.44	0.38	0.04
64.0	15.0	4.40	7.64	2.51	5.38	0.32	0.04
64.0	16.0	4.34	7.73	2.30	5.50	0.29	0.04
64.0	17.0	5.49	6.99	3.55	4.99	0.10	0.04
64.0	18.0	6.91	7.71	5.10	5.57	0.09	0.03
64.0	19.0	6.98	7.94	4.66	5.45	0.07	0.04
64.0	20.0	9.30	8.79	5.94	5.70	0.06	0.04
64.0	21.0	14.21	10.72	9.41	6.73	0.04	0.05
64.0	22.0	15.77	12.25	10.15	7.36	0.04	0.06
64.0	23.0	15.95	13.10	9.97	7.72	0.04	0.06
62.0	0.0	14.75	10.45	9.04	4.97	0.04	0.09
62.0	1.0	12.61	9.09	7.13	3.92	0.04	0.12
62.0	2.0	12.35	8.41	7.24	3.32	0.04	0.10
62.0	3.0	11.88	7.45	7.21	2.90	0.04	0.11
62.0	4.0	10.54	6.36	6.11	1.94	0.04	0.08
62.0	5.0	8.74	5.75	4.78	1.76	0.05	0.08
62.0	6.0	7.14	5.28	3.86	2.04	0.04	0.08
62.0	7.0	6.09	4.30	3.41	1.69	0.08	0.10
62.0	8.0	6.30	4.08	3.79	1.65	0.11	0.08
62.0	9.0	5.54	4.31	3.37	2.31	0.16	0.12
62.0	10.0	5.31	4.53	3.27	2.45	0.19	0.09
62.0	11.0	5.31	4.80	3.34	2.72	0.22	0.07
62.0	12.0	5.37	5.47	3.38	3.42	0.25	0.07
62.0	13.0	5.25	5.91	3.24	3.82	0.30	0.06
62.0	14.0	4.52	5.83	2.57	3.70	0.38	0.06
62.0	15.0	3.81	5.91	1.85	3.71	0.40	0.05
62.0	16.0	2.97	6.12	0.90	3.91	0.36	0.03
62.0	17.0	3.21	6.03	1.11	3.91	0.17	0.04
62.0	18.0	4.03	6.15	2.35	3.94	0.18	0.03
62.0	19.0	4.26	5.36	2.60	3.32	0.12	0.04
62.0	20.0	5.71	5.65	3.40	3.37	0.08	0.05
62.0	21.0	9.15	7.18	5.56	4.23	0.05	0.05
62.0	22.0	11.87	8.81	6.95	4.93	0.04	0.07
62.0	23.0	13.17	9.65	7.54	5.11	0.03	0.08
60.0	0.0	10.65	7.43	5.89	3.38	0.04	0.13
60.0	1.0	10.00	7.41	4.94	3.28	0.04	0.16
60.0	2.0	10.24	7.36	5.38	2.95	0.04	0.11
60.0	3.0	9.74	6.47	5.56	2.27	0.04	0.10
60.0	4.0	8.15	5.33	4.52	1.65	0.05	0.12
60.0	5.0	6.22	4.45	3.00	1.30	0.04	0.11
60.0	6.0	4.73	3.73	1.81	1.01	0.05	0.11
60.0	7.0	4.14	3.45	1.60	1.05	0.12	0.15
60.0	8.0	5.04	3.76	2.55	1.36	0.13	0.11
60.0	9.0	5.08	4.00	2.78	1.82	0.16	0.11
60.0	10.0	4.96	4.22	2.82	2.09	0.20	0.09
60.0	11.0	4.86	4.43	2.82	2.33	0.23	0.08
60.0	12.0	4.79	4.80	2.79	2.73	0.26	0.07
60.0	13.0	4.61	5.10	2.62	3.03	0.31	0.06
60.0	14.0	4.08	5.09	2.13	3.00	0.36	0.05
60.0	15.0	3.34	4.86	1.41	2.75	0.40	0.04
60.0	16.0	2.60	4.30	0.63	2.26	0.42	0.04
60.0	17.0	2.58	4.20	0.64	2.30	0.36	0.05
60.0	18.0	2.80	4.28	1.18	2.45	0.28	0.05
60.0	19.0	3.07	3.78	1.48	2.02	0.16	0.06
60.0	20.0	3.47	3.62	1.72	1.88	0.10	0.06
60.0	21.0	4.70	4.15	2.56	2.26	0.07	0.06
60.0	22.0	6.37	4.96	3.44	2.55	0.05	0.06
60.0	23.0	8.13	5.90	4.36	2.83	0.04	0.07
