Equatorial Region (ABS(MLAT) < 15 degrees)
==========================================

***************************************************
Lower-band chorus
kp < 2
***************************************************

         MLT          L         B_wave^2
         (h)                    (pT^2)

      8.50000      4.25000      6.35255
      8.50000      4.35000      12.9422
      8.50000      4.45000      9.22728
      8.50000      4.55000      13.6183
      8.50000      4.65000      19.3158
      8.50000      4.75000      1.66445
      8.50000      4.85000      1.25717
      8.50000      4.95000     0.820367
      8.50000      5.05000     0.519432
      8.50000      5.15000     0.681521
      8.50000      5.25000      24.4126
      8.50000      5.35000      26.7521
      8.50000      5.45000      78.8701
      8.50000      5.55000      2.55218
      8.50000      5.65000      1.44132
      8.50000      5.75000      12.5076
      8.50000      5.85000      6.78933
      8.50000      5.95000      33.4032
      8.50000      6.05000      99999.0
      8.50000      6.15000      99999.0
      8.50000      6.25000      99999.0
      8.50000      6.35000      99999.0
      8.50000      6.45000      99999.0
      8.50000      6.55000      99999.0
      8.50000      6.65000      99999.0
      8.50000      6.75000      99999.0
      8.50000      6.85000      99999.0
      8.50000      6.95000      99999.0
      8.50000      7.05000      99999.0
      8.50000      7.15000      99999.0
      8.50000      7.25000      99999.0
      8.50000      7.35000      99999.0
      8.50000      7.45000      99999.0
      8.50000      7.55000      99999.0
      8.50000      7.65000      99999.0
      8.50000      7.75000      99999.0
      8.50000      7.85000      99999.0
      8.50000      7.95000      99999.0
      9.50000      1.05000      99999.0
      9.50000      1.15000      99999.0
      9.50000      1.25000      99999.0
      9.50000      1.35000      99999.0
      9.50000      1.45000      99999.0
      9.50000      1.55000  0.000163130
      9.50000      1.65000  0.000513049
      9.50000      1.75000  0.000847412
      9.50000      1.85000  0.000542206
      9.50000      1.95000  0.000935044
      9.50000      2.05000   0.00300970
      9.50000      2.15000   0.00723735
      9.50000      2.25000     0.304529
      9.50000      2.35000      2231.52
      9.50000      2.45000      1573.86
      9.50000      2.55000    0.0533929
      9.50000      2.65000    0.0388275
      9.50000      2.75000    0.0223587
      9.50000      2.85000    0.0312613
      9.50000      2.95000    0.0371180
      9.50000      3.05000    0.0230335
      9.50000      3.15000    0.0296063
      9.50000      3.25000     0.739496
      9.50000      3.35000      31.2172
      9.50000      3.45000      24.1242
      9.50000      3.55000      22.6996
      9.50000      3.65000      34.9929
      9.50000      3.75000      8.47432
      9.50000      3.85000      13.5123
      9.50000      3.95000      26.2735
      9.50000      4.05000      43.7427
      9.50000      4.15000      67.9013
      9.50000      4.25000      65.4443
      9.50000      4.35000      64.7598
      9.50000      4.45000      24.4495
      9.50000      4.55000      12.2484
      9.50000      4.65000      7.89078
      9.50000      4.75000     0.607870
      9.50000      4.85000      99999.0
      9.50000      4.95000      99999.0
      9.50000      5.05000      99999.0
      9.50000      5.15000      99999.0
      9.50000      5.25000      99999.0
      9.50000      5.35000      99999.0
      9.50000      5.45000      99999.0
      9.50000      5.55000      99999.0
      9.50000      5.65000      99999.0
      9.50000      5.75000      99999.0
      9.50000      5.85000      99999.0
      9.50000      5.95000      99999.0
      9.50000      6.05000      99999.0
      9.50000      6.15000      99999.0
      9.50000      6.25000      99999.0
      9.50000      6.35000      99999.0
      9.50000      6.45000      99999.0
      9.50000      6.55000      99999.0
      9.50000      6.65000      99999.0
      9.50000      6.75000      99999.0
      9.50000      6.85000      99999.0
      9.50000      6.95000      99999.0
      9.50000      7.05000      99999.0
      9.50000      7.15000      99999.0
      9.50000      7.25000      99999.0
      9.50000      7.35000      99999.0
      9.50000      7.45000      99999.0
      9.50000      7.55000      99999.0
      9.50000      7.65000      99999.0
      9.50000      7.75000      99999.0
      9.50000      7.85000      99999.0
      9.50000      7.95000      99999.0
      10.5000      1.05000      99999.0
      10.5000      1.15000      99999.0
      10.5000      1.25000      99999.0
      10.5000      1.35000      99999.0
      10.5000      1.45000      99999.0
      10.5000      1.55000      99999.0
      10.5000      1.65000      99999.0
      10.5000      1.75000      99999.0
      10.5000      1.85000    0.0506136
      10.5000      1.95000    0.0153069
      10.5000      2.05000    0.0139616
      10.5000      2.15000    0.0295049
      10.5000      2.25000    0.0369809
      10.5000      2.35000     0.152760
      10.5000      2.45000     0.320735
      10.5000      2.55000    0.0384573
      10.5000      2.65000    0.0935805
      10.5000      2.75000     0.359117
      10.5000      2.85000     0.434671
      10.5000      2.95000      1.00935
      10.5000      3.05000      1.54879
      10.5000      3.15000     0.746662
      10.5000      3.25000      1.88567
      10.5000      3.35000      3.85082
      10.5000      3.45000      7642.52
      10.5000      3.55000      3.42216
      10.5000      3.65000     0.674963
      10.5000      3.75000      99999.0
      10.5000      3.85000      99999.0
      10.5000      3.95000      99999.0
      10.5000      4.05000      99999.0
      10.5000      4.15000      99999.0
      10.5000      4.25000      99999.0
      10.5000      4.35000      99999.0
      10.5000      4.45000      99999.0
      10.5000      4.55000      99999.0
      10.5000      4.65000      99999.0
      10.5000      4.75000      99999.0
      10.5000      4.85000      99999.0
      10.5000      4.95000      99999.0
      10.5000      5.05000      99999.0
      10.5000      5.15000      99999.0
      10.5000      5.25000      99999.0
      10.5000      5.35000      99999.0
      10.5000      5.45000      99999.0
      10.5000      5.55000      99999.0
      10.5000      5.65000      99999.0
      10.5000      5.75000      99999.0
      10.5000      5.85000      99999.0
      10.5000      5.95000      99999.0
      10.5000      6.05000      99999.0
      10.5000      6.15000      99999.0
      10.5000      6.25000      99999.0
      10.5000      6.35000      99999.0
      10.5000      6.45000      99999.0
      10.5000      6.55000      99999.0
      10.5000      6.65000      99999.0
      10.5000      6.75000      99999.0
      10.5000      6.85000      99999.0
      10.5000      6.95000      99999.0
      10.5000      7.05000      99999.0
      10.5000      7.15000      99999.0
      10.5000      7.25000      99999.0
      10.5000      7.35000      99999.0
      10.5000      7.45000      99999.0
      10.5000      7.55000      99999.0
      10.5000      7.65000      99999.0
      10.5000      7.75000      99999.0
      10.5000      7.85000      99999.0
      10.5000      7.95000      99999.0
      11.5000      1.05000      99999.0
      11.5000      1.15000      99999.0
      11.5000      1.25000      99999.0
      11.5000      1.35000      99999.0
      11.5000      1.45000      99999.0
      11.5000      1.55000      99999.0
      11.5000      1.65000  0.000154931
      11.5000      1.75000  0.000247259
      11.5000      1.85000  0.000872700
      11.5000      1.95000   0.00196547
      11.5000      2.05000    0.0116263
      11.5000      2.15000    0.0169098
      11.5000      2.25000    0.0597960
      11.5000      2.35000    0.0995080
      11.5000      2.45000     0.303296
      11.5000      2.55000    0.0439058
      11.5000      2.65000    0.0446931
      11.5000      2.75000    0.0654931
      11.5000      2.85000     0.111670
      11.5000      2.95000    0.0155051
      11.5000      3.05000     0.153490
      11.5000      3.15000      6.55306
      11.5000      3.25000      4.84055
      11.5000      3.35000      6.38424
      11.5000      3.45000      10.6915
      11.5000      3.55000      9.21033
      11.5000      3.65000      8.24072
      11.5000      3.75000      8.99098
      11.5000      3.85000      10.1338
      11.5000      3.95000      2.53482
      11.5000      4.05000      3.55461
      11.5000      4.15000      4.86820
      11.5000      4.25000      6.96015
      11.5000      4.35000      9.40963
      11.5000      4.45000      9.55623
      11.5000      4.55000      12.4931
      11.5000      4.65000      2.11872
      11.5000      4.75000     0.769002
      11.5000      4.85000     0.596247
      11.5000      4.95000     0.122361
      11.5000      5.05000      99999.0
      11.5000      5.15000      99999.0
      11.5000      5.25000      99999.0
      11.5000      5.35000      99999.0
      11.5000      5.45000      99999.0
      11.5000      5.55000      99999.0
      11.5000      5.65000      99999.0
      11.5000      5.75000      99999.0
      11.5000      5.85000      99999.0
      11.5000      5.95000      99999.0
      11.5000      6.05000      99999.0
      11.5000      6.15000      99999.0
      11.5000      6.25000      99999.0
      11.5000      6.35000      99999.0
      11.5000      6.45000      99999.0
      11.5000      6.55000      99999.0
      11.5000      6.65000      99999.0
      11.5000      6.75000      99999.0
      11.5000      6.85000      99999.0
      11.5000      6.95000      99999.0
      11.5000      7.05000      99999.0
      11.5000      7.15000      99999.0
      11.5000      7.25000      99999.0
      11.5000      7.35000      99999.0
      11.5000      7.45000      99999.0
      11.5000      7.55000      99999.0
      11.5000      7.65000      99999.0
      11.5000      7.75000      99999.0
      11.5000      7.85000      99999.0
      11.5000      7.95000      99999.0
      12.5000      1.05000      99999.0
      12.5000      1.15000      99999.0
      12.5000      1.25000      99999.0
